Date,Day,Month,Year,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8
2002-02-08,8,2,2002,,,,,,,,
2002-02-09,9,2,2002,,,,,,,,
2002-02-10,10,2,2002,,,,,,,,
2002-02-11,11,2,2002,,,,,,,,
2002-02-12,12,2,2002,,,,,,,,
2002-02-13,13,2,2002,,,,,,,,
2002-02-14,14,2,2002,,,,,,,,
2002-02-15,15,2,2002,,,,,,,,
2002-02-16,16,2,2002,,,,,,,,
2002-02-17,17,2,2002,,,,,,,,
2002-02-18,18,2,2002,,,,,,,,
2002-02-19,19,2,2002,,,,,,,,
2002-02-20,20,2,2002,,,,,,,,
2002-02-21,21,2,2002,0.072,0.34,1.14,0.153,-1.229,0.185,-2.117,3.556
2002-02-22,22,2,2002,0.316,0.793,1.287,0.15,-1.17,0.187,-2.118,3.556
2002-02-23,23,2,2002,1.024,0.775,1.248,0.133,-1.106,0.189,-2.12,3.556
2002-02-24,24,2,2002,,,,,,,,
2002-02-25,25,2,2002,,,,,,,,
2002-02-26,26,2,2002,,,,,,,,
2002-03-01,1,3,2002,,,,,,,,
2002-03-02,2,3,2002,,,,,,,,
2002-03-03,3,3,2002,,,,,,,,
2002-03-04,4,3,2002,,,,,,,,
2002-03-05,5,3,2002,,,,,,,,
2002-03-06,6,3,2002,,,,,,,,
2002-03-07,7,3,2002,,,,,,,,
2002-03-08,8,3,2002,,,,,,,,
2002-03-09,9,3,2002,,,,,,,,
2002-03-10,10,3,2002,,,,,,,,
2002-03-11,11,3,2002,,,,,,,,
2002-03-12,12,3,2002,,,,,,,,
2002-03-13,13,3,2002,,,,,,,,
2002-03-14,14,3,2002,,,,,,,,
2002-03-15,15,3,2002,,,,,,,,
2002-03-16,16,3,2002,,,,,,,,
2002-03-17,17,3,2002,,,,,,,,
2002-03-18,18,3,2002,,,,,,,,
2002-03-19,19,3,2002,,,,,,,,
2002-03-20,20,3,2002,,,,,,,,
2002-03-21,21,3,2002,-0.945,0.195,1.056,0.104,-1.036,0.191,-2.121,3.556
2002-03-22,22,3,2002,0.191,-0.283,0.764,0.064,-0.962,0.193,-2.123,3.556
2002-03-23,23,3,2002,0.71,-0.395,0.426,0.016,-0.883,0.194,-2.124,3.556
2002-03-24,24,3,2002,,,,,,,,
2002-03-25,25,3,2002,,,,,,,,
2002-03-26,26,3,2002,,,,,,,,
2002-03-27,27,3,2002,,,,,,,,
2002-03-28,28,3,2002,,,,,,,,
2002-03-29,29,3,2002,-0.578,-0.2,0.091,-0.038,-0.801,0.196,-2.125,3.556
2002-03-30,30,3,2002,-0.463,-0.039,-0.214,-0.096,-0.715,0.198,-2.127,3.556
2002-03-31,31,3,2002,0.358,0.061,-0.463,-0.156,-0.627,0.199,-2.128,3.556
2002-04-01,1,4,2002,,,,,,,,
2002-04-02,2,4,2002,,,,,,,,
2002-04-03,3,4,2002,,,,,,,,
2002-04-04,4,4,2002,,,,,,,,
2002-04-05,5,4,2002,,,,,,,,
2002-04-06,6,4,2002,-0.246,0.104,-0.635,-0.215,-0.535,0.201,-2.129,3.556
2002-04-07,7,4,2002,-0.04,-0.048,-0.726,-0.272,-0.441,0.202,-2.13,3.556
2002-04-08,8,4,2002,0.069,-0.117,-0.809,-0.325,-0.345,0.203,-2.132,3.555
2002-04-09,9,4,2002,,,,,,,,
2002-04-10,10,4,2002,,,,,,,,
2002-04-11,11,4,2002,,,,,,,,
2002-04-12,12,4,2002,,,,,,,,
2002-04-13,13,4,2002,,,,,,,,
2002-04-14,14,4,2002,,,,,,,,
2002-04-15,15,4,2002,,,,,,,,
2002-04-16,16,4,2002,,,,,,,,
2002-04-17,17,4,2002,,,,,,,,
2002-04-18,18,4,2002,,,,,,,,
2002-04-19,19,4,2002,0.018,0.003,-0.93,-0.372,-0.248,0.205,-2.133,3.555
2002-04-20,20,4,2002,-0.106,0.216,-1.079,-0.409,-0.15,0.206,-2.134,3.555
2002-04-21,21,4,2002,-0.122,0.418,-1.237,-0.436,-0.05,0.207,-2.135,3.555
2002-04-22,22,4,2002,-0.132,0.488,-1.383,-0.45,0.049,0.208,-2.136,3.555
2002-04-23,23,4,2002,0.003,0.36,-1.49,-0.449,0.149,0.209,-2.137,3.555
2002-04-24,24,4,2002,0.177,0.022,-1.544,-0.432,0.248,0.21,-2.137,3.555
2002-04-25,25,4,2002,0.538,-0.484,-1.532,-0.397,0.347,0.211,-2.138,3.555
2002-04-26,26,4,2002,0.919,-1.007,-1.439,-0.346,0.445,0.212,-2.139,3.555
2002-04-27,27,4,2002,0.928,-1.366,-1.251,-0.281,0.541,0.212,-2.14,3.555
2002-04-28,28,4,2002,0.522,-1.425,-0.957,-0.204,0.636,0.213,-2.14,3.555
2002-04-29,29,4,2002,-0.095,-1.071,-0.572,-0.117,0.729,0.213,-2.141,3.555
2002-04-30,30,4,2002,-1.129,-0.153,-0.141,-0.023,0.819,0.214,-2.142,3.555
2002-05-01,1,5,2002,,,,,,,,
2002-05-02,2,5,2002,1.023,1.184,0.284,0.077,0.906,0.214,-2.142,3.555
2002-05-03,3,5,2002,0.467,1.887,0.651,0.18,0.99,0.214,-2.143,3.555
2002-05-04,4,5,2002,-0.146,1.75,0.916,0.284,1.07,0.215,-2.143,3.554
2002-05-05,5,5,2002,-0.369,1.034,1.076,0.388,1.147,0.215,-2.144,3.554
2002-05-06,6,5,2002,-0.008,0.134,1.142,0.488,1.219,0.215,-2.144,3.554
2002-05-07,7,5,2002,-0.303,-0.321,1.129,0.584,1.286,0.215,-2.144,3.554
2002-05-08,8,5,2002,0.002,-0.7,1.053,0.673,1.349,0.214,-2.145,3.554
2002-05-09,9,5,2002,-0.139,-0.968,0.925,0.753,1.405,0.214,-2.145,3.554
2002-05-10,10,5,2002,0.216,-1.281,0.762,0.824,1.456,0.214,-2.145,3.554
2002-05-11,11,5,2002,0.299,-1.681,0.575,0.884,1.501,0.213,-2.145,3.554
2002-05-12,12,5,2002,-0.301,-1.971,0.378,0.934,1.539,0.213,-2.145,3.554
2002-05-13,13,5,2002,0.285,-1.831,0.183,0.972,1.57,0.212,-2.145,3.554
2002-05-14,14,5,2002,0.03,-1.641,-0.0,0.998,1.594,0.211,-2.145,3.554
2002-05-15,15,5,2002,-0.164,-1.41,-0.165,1.011,1.61,0.21,-2.145,3.553
2002-05-16,16,5,2002,-0.138,-1.003,-0.306,1.01,1.619,0.209,-2.145,3.553
2002-05-17,17,5,2002,0.114,-0.329,-0.415,0.995,1.618,0.208,-2.145,3.553
2002-05-18,18,5,2002,-0.094,0.39,-0.486,0.964,1.61,0.207,-2.145,3.553
2002-05-19,19,5,2002,0.097,0.792,-0.513,0.916,1.594,0.206,-2.145,3.553
2002-05-20,20,5,2002,-0.119,1.174,-0.49,0.85,1.571,0.204,-2.144,3.553
2002-05-21,21,5,2002,0.149,1.344,-0.412,0.767,1.54,0.203,-2.144,3.553
2002-05-22,22,5,2002,-0.181,0.979,-0.281,0.669,1.503,0.201,-2.144,3.553
2002-05-23,23,5,2002,0.071,0.519,-0.118,0.56,1.46,0.2,-2.143,3.552
2002-05-24,24,5,2002,0.279,0.111,0.05,0.443,1.41,0.198,-2.143,3.552
2002-05-25,25,5,2002,-0.363,-0.318,0.195,0.325,1.355,0.196,-2.142,3.552
2002-05-26,26,5,2002,-0.021,-0.877,0.291,0.208,1.294,0.194,-2.142,3.552
2002-05-27,27,5,2002,0.596,-1.038,0.311,0.098,1.229,0.192,-2.141,3.552
2002-05-28,28,5,2002,0.055,-0.454,0.24,-0.001,1.159,0.19,-2.14,3.552
2002-05-29,29,5,2002,-0.831,0.429,0.108,-0.091,1.084,0.188,-2.14,3.552
2002-05-30,30,5,2002,-0.578,0.985,-0.043,-0.169,1.006,0.186,-2.139,3.552
2002-05-31,31,5,2002,0.939,0.75,-0.174,-0.236,0.924,0.183,-2.138,3.551
2002-06-01,1,6,2002,-0.942,-0.34,-0.26,-0.292,0.839,0.181,-2.137,3.551
2002-06-02,2,6,2002,0.036,-0.966,-0.278,-0.336,0.751,0.178,-2.136,3.551
2002-06-03,3,6,2002,-0.205,-0.563,-0.213,-0.369,0.66,0.176,-2.135,3.551
2002-06-04,4,6,2002,-0.424,0.254,-0.093,-0.393,0.567,0.173,-2.135,3.551
2002-06-05,5,6,2002,0.784,0.82,0.047,-0.411,0.472,0.17,-2.133,3.551
2002-06-06,6,6,2002,0.183,0.908,0.171,-0.424,0.376,0.167,-2.132,3.55
2002-06-07,7,6,2002,-0.627,0.75,0.249,-0.435,0.278,0.164,-2.131,3.55
2002-06-08,8,6,2002,0.003,0.598,0.284,-0.447,0.18,0.161,-2.13,3.55
2002-06-09,9,6,2002,0.225,0.394,0.283,-0.462,0.081,0.158,-2.129,3.55
2002-06-10,10,6,2002,0.311,0.058,0.254,-0.482,-0.017,0.155,-2.128,3.55
2002-06-11,11,6,2002,-0.197,-0.355,0.2,-0.507,-0.116,0.152,-2.126,3.55
2002-06-12,12,6,2002,0.119,-0.671,0.126,-0.533,-0.214,0.149,-2.125,3.549
2002-06-13,13,6,2002,-0.049,-0.588,0.038,-0.56,-0.312,0.145,-2.124,3.549
2002-06-14,14,6,2002,-0.008,-0.41,-0.057,-0.587,-0.408,0.142,-2.122,3.549
2002-06-15,15,6,2002,-0.02,-0.287,-0.146,-0.612,-0.502,0.139,-2.121,3.549
2002-06-16,16,6,2002,-0.002,-0.118,-0.218,-0.633,-0.595,0.135,-2.119,3.549
2002-06-17,17,6,2002,-0.005,0.037,-0.261,-0.648,-0.686,0.131,-2.117,3.549
2002-06-18,18,6,2002,0.002,0.135,-0.266,-0.657,-0.775,0.128,-2.116,3.548
2002-06-19,19,6,2002,-0.004,0.196,-0.232,-0.658,-0.86,0.124,-2.114,3.548
2002-06-20,20,6,2002,0.003,0.201,-0.167,-0.651,-0.943,0.12,-2.112,3.548
2002-06-21,21,6,2002,-0.006,0.199,-0.091,-0.634,-1.022,0.117,-2.11,3.548
2002-06-22,22,6,2002,0.001,0.171,-0.017,-0.609,-1.098,0.113,-2.109,3.548
2002-06-23,23,6,2002,0.003,0.14,0.053,-0.575,-1.17,0.109,-2.107,3.547
2002-06-24,24,6,2002,0.003,0.105,0.117,-0.534,-1.238,0.105,-2.105,3.547
2002-06-25,25,6,2002,-0.002,0.073,0.171,-0.485,-1.302,0.101,-2.103,3.547
2002-06-26,26,6,2002,-0.0,0.04,0.208,-0.428,-1.362,0.097,-2.101,3.547
2002-06-27,27,6,2002,-0.002,0.018,0.225,-0.365,-1.417,0.093,-2.099,3.547
2002-06-28,28,6,2002,-0.002,0.003,0.223,-0.295,-1.467,0.088,-2.096,3.546
2002-06-29,29,6,2002,0.0,-0.006,0.202,-0.22,-1.513,0.084,-2.094,3.546
2002-06-30,30,6,2002,-0.0,-0.007,0.167,-0.141,-1.553,0.08,-2.092,3.546
2003-01-01,1,1,2003,-0.002,-0.003,0.121,-0.06,-1.588,0.076,-2.09,3.546
2003-01-02,2,1,2003,0.003,-0.005,0.071,0.019,-1.618,0.071,-2.087,3.546
2003-01-03,3,1,2003,-0.002,0.002,0.021,0.095,-1.642,0.067,-2.085,3.545
2003-01-04,4,1,2003,0.001,-0.001,-0.028,0.163,-1.661,0.062,-2.083,3.545
2003-01-05,5,1,2003,0.002,-0.002,-0.073,0.223,-1.674,0.058,-2.08,3.545
2003-01-06,6,1,2003,-0.001,0.001,-0.111,0.271,-1.68,0.054,-2.077,3.545
2003-01-07,7,1,2003,0.001,-0.003,-0.143,0.307,-1.681,0.049,-2.075,3.545
2003-01-08,8,1,2003,-0.002,-0.0,-0.168,0.329,-1.675,0.044,-2.072,3.544
2003-01-09,9,1,2003,0.002,-0.004,-0.187,0.336,-1.663,0.04,-2.07,3.544
2003-01-10,10,1,2003,-0.003,0.002,-0.198,0.329,-1.643,0.035,-2.067,3.544
2003-01-11,11,1,2003,-0.0,0.001,-0.202,0.309,-1.618,0.031,-2.064,3.544
2003-01-12,12,1,2003,-0.001,0.007,-0.205,0.276,-1.585,0.026,-2.061,3.543
2003-01-13,13,1,2003,-0.001,0.013,-0.203,0.232,-1.546,0.021,-2.058,3.543
2003-01-14,14,1,2003,0.002,0.011,-0.195,0.179,-1.502,0.017,-2.055,3.543
2003-01-15,15,1,2003,0.018,-0.011,-0.175,0.118,-1.452,0.012,-2.052,3.543
2003-01-16,16,1,2003,0.009,-0.022,-0.141,0.051,-1.397,0.007,-2.049,3.542
2003-01-17,17,1,2003,-0.042,-0.005,-0.092,-0.021,-1.339,0.002,-2.046,3.542
2003-01-18,18,1,2003,-0.004,0.016,-0.037,-0.095,-1.276,-0.002,-2.043,3.542
2003-01-19,19,1,2003,0.055,0.015,0.015,-0.17,-1.21,-0.007,-2.04,3.542
2003-01-20,20,1,2003,-0.056,-0.014,0.06,-0.242,-1.141,-0.012,-2.037,3.541
2003-01-21,21,1,2003,-0.006,-0.012,0.105,-0.309,-1.069,-0.017,-2.033,3.541
2003-01-22,22,1,2003,0.01,0.016,0.149,-0.369,-0.996,-0.021,-2.03,3.541
2003-01-23,23,1,2003,0.066,0.005,0.183,-0.42,-0.921,-0.026,-2.026,3.541
2003-01-24,24,1,2003,-0.034,-0.036,0.187,-0.458,-0.845,-0.031,-2.023,3.54
2003-01-25,25,1,2003,-0.112,-0.075,0.152,-0.481,-0.769,-0.036,-2.02,3.54
2003-01-26,26,1,2003,0.164,-0.046,0.076,-0.485,-0.692,-0.04,-2.016,3.54
2003-01-27,27,1,2003,0.106,0.114,-0.019,-0.467,-0.616,-0.045,-2.012,3.54
2003-01-28,28,1,2003,-0.173,0.255,-0.098,-0.425,-0.539,-0.05,-2.009,3.539
2003-01-29,29,1,2003,-0.367,0.241,-0.134,-0.355,-0.464,-0.055,-2.005,3.539
2003-01-30,30,1,2003,-0.236,0.03,-0.125,-0.259,-0.388,-0.059,-2.001,3.539
2003-01-31,31,1,2003,0.068,-0.307,-0.084,-0.141,-0.314,-0.064,-1.997,3.538
2003-02-01,1,2,2003,0.388,-0.592,-0.026,-0.006,-0.241,-0.069,-1.993,3.538
2003-02-02,2,2,2003,0.64,-0.718,0.032,0.139,-0.168,-0.073,-1.99,3.538
2003-02-03,3,2,2003,0.278,-0.519,0.076,0.288,-0.098,-0.078,-1.986,3.538
2003-02-04,4,2,2003,-0.663,0.086,0.098,0.435,-0.029,-0.082,-1.982,3.537
2003-02-05,5,2,2003,0.639,0.887,0.089,0.574,0.039,-0.087,-1.977,3.537
2003-02-06,6,2,2003,-0.434,1.115,0.045,0.698,0.104,-0.092,-1.973,3.537
2003-02-07,7,2,2003,-0.551,0.648,-0.033,0.799,0.167,-0.096,-1.969,3.537
2003-02-08,8,2,2003,-0.247,-0.401,-0.12,0.871,0.228,-0.1,-1.965,3.536
2003-02-09,9,2,2003,0.566,-1.346,-0.183,0.907,0.286,-0.105,-1.961,3.536
2003-02-10,10,2,2003,0.309,-1.328,-0.195,0.903,0.341,-0.109,-1.956,3.536
2003-02-11,11,2,2003,-0.673,-0.508,-0.141,0.858,0.393,-0.114,-1.952,3.535
2003-02-12,12,2,2003,0.45,0.597,-0.036,0.776,0.443,-0.118,-1.947,3.535
2003-02-13,13,2,2003,0.736,1.436,0.101,0.666,0.49,-0.122,-1.943,3.535
2003-02-14,14,2,2003,0.781,1.53,0.249,0.534,0.535,-0.126,-1.938,3.534
2003-02-15,15,2,2003,-0.347,1.02,0.392,0.386,0.578,-0.13,-1.934,3.534
2003-02-16,16,2,2003,-0.871,0.335,0.518,0.228,0.619,-0.134,-1.929,3.534
2003-02-17,17,2,2003,-0.002,-0.111,0.62,0.064,0.658,-0.138,-1.924,3.534
2003-02-18,18,2,2003,0.64,-0.394,0.688,-0.102,0.696,-0.142,-1.92,3.533
2003-02-19,19,2,2003,0.692,-0.647,0.716,-0.266,0.733,-0.146,-1.915,3.533
2003-02-20,20,2,2003,0.212,-0.924,0.697,-0.425,0.768,-0.15,-1.91,3.533
2003-02-21,21,2,2003,-0.214,-1.208,0.625,-0.579,0.802,-0.154,-1.905,3.532
2003-02-22,22,2,2003,-0.33,-1.45,0.493,-0.724,0.836,-0.158,-1.9,3.532
2003-02-23,23,2,2003,-0.077,-1.605,0.297,-0.858,0.869,-0.161,-1.895,3.532
2003-02-24,24,2,2003,0.097,-1.428,0.035,-0.981,0.901,-0.165,-1.89,3.531
2003-02-25,25,2,2003,-0.096,-0.849,-0.276,-1.09,0.934,-0.168,-1.885,3.531
2003-02-26,26,2,2003,0.074,-0.224,-0.613,-1.183,0.966,-0.172,-1.88,3.531
2003-02-27,27,2,2003,-0.007,0.235,-0.95,-1.258,0.999,-0.175,-1.874,3.53
2003-02-28,28,2,2003,-0.083,0.648,-1.267,-1.313,1.032,-0.178,-1.869,3.53
2003-03-01,1,3,2003,0.103,1.132,-1.538,-1.347,1.066,-0.181,-1.864,3.53
2003-03-02,2,3,2003,-0.129,1.541,-1.741,-1.358,1.1,-0.184,-1.858,3.529
2003-03-03,3,3,2003,0.159,1.614,-1.855,-1.342,1.136,-0.187,-1.853,3.529
2003-03-04,4,3,2003,-0.196,1.302,-1.87,-1.3,1.172,-0.19,-1.848,3.529
2003-03-05,5,3,2003,-0.211,0.727,-1.788,-1.231,1.209,-0.193,-1.842,3.528
2003-03-06,6,3,2003,0.06,0.048,-1.612,-1.138,1.246,-0.196,-1.836,3.528
2003-03-07,7,3,2003,0.309,-0.622,-1.346,-1.024,1.284,-0.198,-1.831,3.528
2003-03-08,8,3,2003,0.307,-1.144,-0.994,-0.894,1.323,-0.201,-1.825,3.527
2003-03-09,9,3,2003,0.163,-1.42,-0.561,-0.748,1.361,-0.203,-1.819,3.527
2003-03-10,10,3,2003,-0.388,-1.37,-0.058,-0.592,1.4,-0.205,-1.814,3.527
2003-03-11,11,3,2003,0.412,-1.026,0.491,-0.428,1.439,-0.207,-1.808,3.526
2003-03-12,12,3,2003,-0.435,-0.652,1.053,-0.259,1.478,-0.209,-1.802,3.526
2003-03-13,13,3,2003,0.457,-0.294,1.591,-0.088,1.516,-0.211,-1.796,3.526
2003-03-14,14,3,2003,-0.012,0.284,2.07,0.081,1.554,-0.213,-1.79,3.525
2003-03-15,15,3,2003,-0.497,0.878,2.455,0.245,1.592,-0.215,-1.784,3.525
2003-03-16,16,3,2003,0.511,1.117,2.711,0.402,1.63,-0.216,-1.778,3.524
2003-03-17,17,3,2003,-0.522,0.764,2.81,0.547,1.667,-0.217,-1.772,3.524
2003-03-18,18,3,2003,-0.097,0.214,2.762,0.678,1.703,-0.219,-1.766,3.524
2003-03-19,19,3,2003,0.543,-0.106,2.586,0.794,1.738,-0.22,-1.76,3.523
2003-03-20,20,3,2003,-0.133,0.016,2.302,0.894,1.773,-0.221,-1.753,3.523
2003-03-21,21,3,2003,-0.572,0.188,1.944,0.98,1.806,-0.222,-1.747,3.523
2003-03-22,22,3,2003,-0.222,0.017,1.556,1.051,1.839,-0.222,-1.741,3.522
2003-03-23,23,3,2003,0.422,-0.421,1.157,1.107,1.87,-0.223,-1.734,3.522
2003-03-24,24,3,2003,0.533,-0.911,0.757,1.151,1.9,-0.223,-1.728,3.521
2003-03-25,25,3,2003,0.486,-1.237,0.367,1.181,1.928,-0.224,-1.722,3.521
2003-03-26,26,3,2003,-0.526,-1.101,-0.008,1.199,1.955,-0.224,-1.715,3.521
2003-03-27,27,3,2003,-0.08,-0.22,-0.372,1.204,1.98,-0.224,-1.708,3.52
2003-03-28,28,3,2003,0.404,0.826,-0.726,1.198,2.004,-0.224,-1.702,3.52
2003-03-29,29,3,2003,-0.131,1.395,-1.071,1.181,2.025,-0.223,-1.695,3.52
2003-03-30,30,3,2003,0.08,1.421,-1.406,1.153,2.045,-0.223,-1.689,3.519
2003-03-31,31,3,2003,-0.24,1.281,-1.732,1.115,2.062,-0.222,-1.682,3.519
2003-04-01,1,4,2003,0.112,0.962,-2.041,1.067,2.078,-0.221,-1.675,3.518
2003-04-02,2,4,2003,0.175,0.417,-2.322,1.01,2.09,-0.22,-1.668,3.518
2003-04-03,3,4,2003,-0.19,-0.225,-2.567,0.944,2.101,-0.219,-1.661,3.518
2003-04-04,4,4,2003,0.108,-0.666,-2.766,0.87,2.109,-0.218,-1.654,3.517
2003-04-05,5,4,2003,-0.119,-0.827,-2.909,0.788,2.114,-0.216,-1.648,3.517
2003-04-06,6,4,2003,-0.024,-0.966,-2.986,0.699,2.117,-0.215,-1.641,3.516
2003-04-07,7,4,2003,0.15,-1.149,-2.989,0.602,2.116,-0.213,-1.634,3.516
2003-04-08,8,4,2003,0.339,-1.319,-2.911,0.5,2.113,-0.211,-1.626,3.516
2003-04-09,9,4,2003,0.445,-1.384,-2.746,0.392,2.107,-0.209,-1.619,3.515
2003-04-10,10,4,2003,0.335,-1.211,-2.497,0.28,2.097,-0.206,-1.612,3.515
2003-04-11,11,4,2003,-0.586,-0.694,-2.175,0.166,2.084,-0.204,-1.605,3.514
2003-04-12,12,4,2003,-0.407,0.165,-1.792,0.051,2.067,-0.201,-1.598,3.514
2003-04-13,13,4,2003,0.671,0.981,-1.361,-0.063,2.047,-0.198,-1.59,3.513
2003-04-14,14,4,2003,0.127,1.383,-0.896,-0.173,2.024,-0.195,-1.583,3.513
2003-04-15,15,4,2003,-0.374,1.321,-0.409,-0.28,1.996,-0.192,-1.576,3.513
2003-04-16,16,4,2003,-0.469,0.951,0.076,-0.38,1.965,-0.188,-1.568,3.512
2003-04-17,17,4,2003,-0.684,0.514,0.545,-0.472,1.93,-0.185,-1.561,3.512
2003-04-18,18,4,2003,-0.168,0.071,0.983,-0.554,1.891,-0.181,-1.553,3.511
2003-04-19,19,4,2003,0.09,-0.374,1.374,-0.625,1.847,-0.177,-1.546,3.511
2003-04-20,20,4,2003,0.572,-0.792,1.706,-0.684,1.8,-0.173,-1.538,3.511
2003-04-21,21,4,2003,0.535,-1.129,1.963,-0.727,1.747,-0.169,-1.531,3.51
2003-04-22,22,4,2003,0.523,-1.412,2.13,-0.754,1.691,-0.165,-1.523,3.51
2003-04-23,23,4,2003,0.497,-1.591,2.194,-0.764,1.63,-0.16,-1.515,3.509
2003-04-24,24,4,2003,-0.553,-1.643,2.14,-0.754,1.564,-0.155,-1.508,3.509
2003-04-25,25,4,2003,-0.142,-1.445,1.961,-0.726,1.493,-0.151,-1.5,3.508
2003-04-26,26,4,2003,0.398,-1.075,1.67,-0.682,1.418,-0.146,-1.492,3.508
2003-04-27,27,4,2003,0.435,-0.528,1.295,-0.624,1.339,-0.141,-1.484,3.507
2003-04-28,28,4,2003,0.224,0.112,0.867,-0.552,1.255,-0.136,-1.476,3.507
2003-04-29,29,4,2003,-0.295,0.773,0.418,-0.47,1.166,-0.13,-1.469,3.507
2003-04-30,30,4,2003,-0.34,1.348,-0.023,-0.379,1.074,-0.125,-1.461,3.506
2003-05-01,1,5,2003,0.165,1.73,-0.425,-0.282,0.978,-0.119,-1.453,3.506
2003-05-02,2,5,2003,0.256,1.761,-0.764,-0.179,0.879,-0.114,-1.445,3.505
2003-05-03,3,5,2003,-0.218,1.385,-1.031,-0.073,0.776,-0.108,-1.437,3.505
2003-05-04,4,5,2003,0.187,0.853,-1.219,0.034,0.671,-0.102,-1.428,3.504
2003-05-05,5,5,2003,-0.172,0.301,-1.32,0.141,0.563,-0.096,-1.42,3.504
2003-05-06,6,5,2003,0.033,-0.206,-1.325,0.244,0.453,-0.09,-1.412,3.503
2003-05-07,7,5,2003,-0.022,-0.55,-1.225,0.34,0.341,-0.084,-1.404,3.503
2003-05-08,8,5,2003,0.249,-1.023,-1.008,0.426,0.227,-0.077,-1.396,3.502
2003-05-09,9,5,2003,0.093,-1.378,-0.669,0.499,0.112,-0.071,-1.387,3.502
2003-05-10,10,5,2003,-0.338,-1.244,-0.226,0.553,-0.004,-0.064,-1.379,3.502
2003-05-11,11,5,2003,0.03,-0.407,0.239,0.586,-0.121,-0.058,-1.371,3.501
2003-05-12,12,5,2003,0.397,0.535,0.626,0.594,-0.238,-0.051,-1.362,3.501
2003-05-13,13,5,2003,0.358,0.888,0.836,0.573,-0.356,-0.044,-1.354,3.5
2003-05-14,14,5,2003,-0.396,0.532,0.8,0.52,-0.472,-0.038,-1.345,3.5
